a52dec 0.8.0-2
abseil-cpp 20240722.1-1
acl 2.3.2-1
ada 2.9.2-1
adapta-gtk-theme 3.95.0.11-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adobe-source-han-mono-cn-fonts 1.002-8
adobe-source-han-sans-cn-fonts 2.004-2
adobe-source-han-serif-cn-fonts 2.003-1
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
alacritty 0.15.0-1
alsa-card-profiles 1:1.2.7-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20250109.7673dffd-1
android-tools 35.0.2-10
android-udev 20241109-1
antlr4-runtime 4.13.2-1
aom 3.11.0-1
apifox 2.6.47-1
appimagelauncher 2.2.0-8
arc-icon-theme 20161122-4
archlinux-keyring 20250123-1
archlinuxcn-keyring 20240531-2
aribb24 1.0.3-4
aribb25 0.2.7-3
at-spi2-core 2.54.1-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
autotiling 1.9.3-3
avahi 1:0.8+r194+g3f79789-3
avisynthplus 3.7.3-2
avro-c 1.12.0-1
ayatana-ido 0.10.4-1
base 3-2
base-devel 1-2
bash 5.2.037-1
bash-completion 2.16.0-1
bcg729 1.1.1-2
bcompare 5.0.5.30614-1
binutils 2.43_1+r186+g61f8adadd6db-1
bison 3.8.2-8
blosc 1.21.6-1
blueberry 1.4.8-2
bluedevil 1:6.2.5-1
bluez 5.79-1
bluez-libs 5.79-1
bluez-qt 6.10.0-1
bluez-tools 0.2.0-6
bluez-utils 5.79-1
boost-libs 1.86.0-6
breeze-icons 6.10.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-3
btrfs-progs 6.12-2
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
